City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
407,Lufilufi,WS,83.98,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
409,Lakatoro,VU,80.46,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
415,Sturgis,US,81.88,clear sky,41.7992,-85.4192,Best Western Plus Howe Inn
416,Riberalta,BO,89.8,clear sky,-10.9833,-66.1,Hotel Colonial
417,Freeport,US,82.49,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
420,Rudsar,IR,77.43,scattered clouds,37.1376,50.288,Hotel Bahar
426,Oranjestad,AW,85.95,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
432,Finschhafen,PG,82.92,broken clouds,-6.6024,147.8681,Cossam Guest House
433,Jaisalmer,IN,80.29,broken clouds,26.9147,70.9181,Hotel Fifu
435,Mazara Del Vallo,IT,80.55,clear sky,37.6641,12.588,Vizier Resort & Spa
436,Hopkinsville,US,80.55,broken clouds,36.8656,-87.4886,Hampton Inn & Suites Hopkinsville
437,Mandera,KE,77.5,overcast clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
438,Amberley,US,79.92,broken clouds,39.2048,-84.428,Days Inn & Suites by Wyndham Cincinnati
439,Sao Filipe,CV,75.79,scattered clouds,14.8961,-24.4956,Hotel Xaguate
440,Pemangkat,ID,76.41,overcast clouds,1.1667,108.9667,Ramah Kost KITA
441,Dwarka,IN,80.71,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
445,Broome,US,78.66,clear sky,42.2506,-75.833,Chenango Valley State Park
451,Touros,BR,76.08,light rain,-5.1989,-35.4608,INN NEW HORIZON
457,Gallup,US,82.24,few clouds,35.5281,-108.7426,Quality Inn & Suites Gallup I-40 Exit 20
459,Huilong,CN,82.92,clear sky,31.8111,121.655,Hilton Garden Inn Qidong
460,Laurel,US,75.78,overcast clouds,39.0993,-76.8483,Days Inn & Suites by Wyndham Laurel Near Fort Meade
462,Hambantota,LK,78.53,heavy intensity rain,6.1241,81.1185,Bungalow 63
463,Faanui,PF,78.82,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
465,Smithers,CA,80.92,few clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
