City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
207,Zhanaozen,KZ,43.3,52.8,81.05,28,0,9.35,clear sky
208,Aykhal,RU,66.0,111.5,54.7,94,100,13.98,overcast clouds
209,Sur,OM,22.5667,59.5289,85.91,66,34,10.2,scattered clouds
210,Cazones,MX,20.7167,-97.3167,93.0,55,75,13.8,broken clouds
211,Abadiania,BR,-16.2042,-48.7069,67.12,30,28,1.1,scattered clouds
212,Krasnyy Chikoy,RU,50.3643,108.7512,62.08,78,99,2.1,overcast clouds
213,Moroto,UG,2.5345,34.6666,64.58,84,34,3.22,light rain
214,Kosa,RU,59.9445,54.9977,60.21,96,96,3.2,overcast clouds
215,Mogadishu,SO,2.0371,45.3438,75.87,84,13,16.89,light rain
216,Moerai,PF,-22.4333,-151.3333,73.27,65,31,20.29,scattered clouds
217,Bredasdorp,ZA,-34.5322,20.0403,42.51,83,3,3.65,clear sky
218,Anadyr,RU,64.75,177.4833,57.7,62,0,8.95,clear sky
219,Coihaique,CL,-45.5752,-72.0662,39.15,60,0,5.75,clear sky
220,Salalah,OM,17.0151,54.0924,77.09,88,75,8.05,broken clouds
221,Konya,TR,38.1667,32.5,76.48,37,0,8.32,clear sky
222,Hamilton,US,39.1834,-84.5333,80.53,74,75,8.05,broken clouds
223,Vangaindrano,MG,-23.35,47.6,64.35,95,7,5.73,clear sky
224,Devonport,AU,-41.1667,146.35,48.09,85,91,13.4,overcast clouds
225,East London,ZA,-33.0153,27.9116,54.77,63,5,8.5,clear sky
226,Valparaiso,CL,-33.0393,-71.6273,59.23,71,0,3.44,clear sky
227,Port Macquarie,AU,-31.4333,152.9167,58.89,70,100,10.63,light rain
228,Narsaq,GL,60.9167,-46.05,57.42,80,84,4.09,broken clouds
229,Port Hedland,AU,-20.3167,118.5667,62.65,67,28,6.91,scattered clouds
230,Walvis Bay,NA,-22.9575,14.5053,55.09,71,0,6.91,clear sky
231,Guangyuan,CN,32.442,105.823,74.61,92,62,1.39,broken clouds
232,Merauke,ID,-8.4667,140.3333,78.33,83,88,12.03,overcast clouds
233,Saint-Pierre,RE,-21.3393,55.4781,67.91,69,0,6.91,clear sky
234,Nara,JP,34.6851,135.8049,86.97,57,64,0.65,broken clouds
235,Itarema,BR,-2.9248,-39.9167,78.85,82,6,14.85,clear sky
236,Irbil,IQ,36.1926,44.0106,91.22,15,0,9.22,clear sky
237,Kavaratti,IN,10.5669,72.642,80.44,80,100,23.89,moderate rain
238,Matara,LK,5.9485,80.5353,76.87,91,99,11.7,light rain
239,Kloulklubed,PW,7.0419,134.2556,73.9,78,100,6.98,overcast clouds
240,Novyy Urengoy,RU,66.0833,76.6333,46.89,79,2,10.67,clear sky
241,Tabas,IR,33.5959,56.9244,88.02,23,2,2.3,clear sky
242,Inuvik,CA,68.3499,-133.7218,68.76,45,40,8.05,scattered clouds
243,Puerto Ayacucho,VE,5.6639,-67.6236,77.81,87,88,2.35,overcast clouds
244,Dawlatabad,AF,36.4141,64.9053,78.53,30,1,0.65,clear sky
245,Labuan,MY,5.2767,115.2417,77.36,88,20,2.3,few clouds
246,Kruisfontein,ZA,-34.0033,24.7314,45.46,80,1,7.2,clear sky
247,Nioro,GM,13.35,-15.75,71.89,94,100,6.87,light rain
248,Mwense,ZM,-10.3845,28.698,63.95,41,2,4.18,clear sky
249,Caboolture,AU,-27.0833,152.95,58.89,88,100,0.85,overcast clouds
250,Evensk,RU,61.95,159.2333,55.74,76,98,7.92,overcast clouds
251,Saint Anthony,US,45.0205,-93.218,85.62,62,100,17.27,overcast clouds
252,Ahipara,NZ,-35.1667,173.1667,57.7,59,12,7.61,few clouds
253,Iqaluit,CA,63.7506,-68.5145,51.53,76,75,11.5,broken clouds
254,Sangar,RU,63.9242,127.4739,65.25,87,98,15.17,light rain
255,Aklavik,CA,68.2191,-135.0107,66.02,46,90,1.66,overcast clouds
256,Puerto Palomas,MX,31.7667,-107.6167,95.27,18,23,5.82,few clouds
